id,niveau,dimension,question,objectif,tip,tags_theme,tags_filtre,icon_tag
1,1,COMPRENDRE,Pourquoi y a-t-il plusieurs marées par jour ?,Comprendre le mécanisme astronomique des marées (Lune/Soleil).,La Terre tourne sur elle-même plus vite que la Lune ne tourne autour d'elle.,"[""caracteristiques_littoral"",""reperes_spatio_temporels""]","[""marée""]",phenomenes_physiques
2,1,COMPRENDRE,"Comment connaît-on les heures de marée ? ","Savoir qu'il existe des outils (annuaires, applications) pour connaître les horaires.",Les cycles sont si réguliers qu'on peut les calculer des années à l'avance.,"[""reperes_spatio_temporels""]","[""outils"",""marée""]",phenomenes_physiques
3,1,COMPRENDRE,Pourquoi l'heure de la marée n'est pas la même partout ?,Comprendre que la forme des côtes influence la propagation de l'onde de marée.,Imaginez l'onde de marée comme une vague géante qui doit contourner des obstacles.,"[""caracteristiques_littoral""]","[""marée"",""zone rocheuse"",""chenal""]",vie_marine_littoral
4,1,COMPRENDRE,Comment s'appelle la zone qui se couvre et se découvre avec la marée ?,Connaître le mot 'estran' et sa signification.,C'est un des milieux les plus riches et extrêmes de la planète.,"[""caracteristiques_littoral""]","[""marée"",""estran""]",vie_marine_littoral
5,1,COMPRENDRE,Pourquoi le moment entre deux marées s'appelle l'étale ?,Comprendre qu'il y a un moment de pause où le courant est quasi nul.,"C'est un bon moment pour certaines activités, mais il ne dure pas longtemps !","[""reperes_spatio_temporels"",""interactions_climatiques""]","[""marée"",""courant""]",
6,2,COMPRENDRE,Pourquoi connaît-on à l'avance les horaires de marées ?,Comprendre la prédictibilité scientifique des marées.,La précision des calculs est telle qu'on peut prévoir un horaire à la minute près.,"[""reperes_spatio_temporels""]","[""outils"",""marée""]",
7,2,COMPRENDRE,Pourquoi il est important de connaître l'amplitude de la marée ?,Comprendre l'importance du coefficient pour la sécurité et la pratique.,Un gros coefficient signifie plus de courant et un estran qui découvre plus loin.,"[""reperes_spatio_temporels""]","[""marée"",""coefficient""]",
8,2,COMPRENDRE,Pourquoi la marée remonte plus vite à certains moments ?,Comprendre la règle des douzièmes et la vitesse variable du flot.,"La marée est la plus rapide à mi-parcours, pas au début ni à la fin.","[""reperes_spatio_temporels"",""interactions_climatiques""]","[""marée"",""courant""]",
9,2,COMPRENDRE,Pourquoi la période de « mi-marée » est un moment particulier ?,Comprendre que c'est le moment des courants les plus forts.,C'est un moment de vigilance accrue pour tous les navigateurs.,"[""interactions_climatiques""]","[""marée"",""courant""]",
10,2,COMPRENDRE,"Pourquoi pour parler du mouvement de la mer qui monte et descend, on parle de flot et de jusant ?",Connaître le vocabulaire technique précis des marées.,"Le flot 'flotte' (monte), le jusant 'descend' (jus -> bas).","[""reperes_spatio_temporels""]","[""marée"",""vocabulaire""]",
11,2,COMPRENDRE,Pourquoi le rythme des marées a des incidences sur le « vivant » et les activités humaines ?,Comprendre l'interaction marées-biodiversité-activités.,"Les pêcheurs, les oiseaux, les algues... tout le monde vit au rythme des marées.","[""biodiversite_saisonnalite"",""activites_humaines""]","[""marée"",""écosystème""]",
12,3,COMPRENDRE,Comment les marées de mortes eaux et de vives eaux influent sur le « vivant » et les activités humaines ?,Comprendre l'impact des différents cycles de marée.,Certaines espèces ne se reproduisent qu'en période de vives-eaux.,"[""biodiversite_saisonnalite"",""activites_humaines""]","[""marée"",""coefficient"",""écosystème""]",
13,1,OBSERVER,Comment sait-on que l'eau monte et descend ?,"Identifier des repères visuels simples (rochers, poteaux) pour voir la marée.",Choisissez un point fixe et regardez le niveau de l'eau par rapport à lui à 5 minutes d'intervalle.,"[""lecture_paysage""]","[""marée"",""repères visuels""]",phenomenes_physiques
14,1,OBSERVER,Comment sait-on jusqu'où la mer va monter ?,Repérer la laisse de haute mer pour anticiper le niveau d'eau.,"La ligne de débris (algues, bois...) laissée par la dernière marée haute est le meilleur indice.","[""lecture_paysage"",""impact_presence_humaine""]","[""marée"",""laisse de mer"",""repères visuels""]",
15,2,OBSERVER,Comment savoir où poser mon matériel quand j'arrive sur l'estran ?,Adapter sa pratique en observant la marée pour des raisons de sécurité.,Regardez toujours la laisse de mer et mettez vos affaires plus haut !,"[""lecture_paysage"",""cohabitation_vivant""]","[""marée"",""sécurité""]",navigation_securite
16,1,PROTÉGER,Pourquoi respecter les zones de reproduction selon les cycles de marée ?,Comprendre que certaines zones de l'estran sont des nurseries.,Des milliers d'oeufs ou de bébés animaux peuvent être cachés sous vos pieds.,"[""cohabitation_vivant""]","[""zone sensible"",""marée""]",
17,1,COMPRENDRE,Comment se forme le vent ?,Comprendre les bases des différences de pression atmosphérique.,Le vent est juste de l'air qui se déplace d'une zone de 'haute pression' (beaucoup d'air) à une zone de 'basse pression' (peu d'air).,"[""interactions_climatiques""]","[""vent"",""météo""]",
18,1,COMPRENDRE,Qu'est-ce qu'une brise thermique ?,Comprendre le phénomène de vent local lié à l'échauffement de la terre.,"En journée, la terre chauffe plus vite que la mer. L'air chaud de la terre monte, et l'air frais de la mer prend sa place.","[""interactions_climatiques""]","[""vent"",""météo"",""thermique""]",
19,2,COMPRENDRE,Comment le vent influence-t-il les activités nautiques ?,Comprendre la relation entre force/direction du vent et la pratique.,"Un vent de terre peut vous éloigner du bord, un vent de mer peut rendre la rentrée difficile.","[""interactions_climatiques"",""activites_humaines""]","[""vent"",""sécurité""]",phenomenes_physiques
20,1,OBSERVER,Comment repère-t-on d'où vient le vent ?,Identifier des indices visuels pour déterminer la direction du vent.,"Regardez les drapeaux, la fumée, les rideaux d'eau sur la mer, ou même mettez votre doigt mouillé en l'air !","[""lecture_paysage""]","[""vent"",""repères visuels""]",
21,2,OBSERVER,Pourquoi dois-tu toujours te soucier du sens du vent et de sa force ?,Intégrer l'observation du vent comme un réflexe de sécurité.,"Le vent est votre moteur, mais aussi votre principal adversaire potentiel. Ne lui tournez jamais le dos.","[""reperes_spatio_temporels""]","[""vent"",""sécurité""]",
22,3,OBSERVER,"Pourquoi je peux savoir qu'une ""brise thermique"" va se former ?","Anticiper la brise en observant les conditions (ciel clair, peu de vent le matin).","Si le soleil tape fort le matin et qu'il n'y a pas de vent, attendez-vous à ce que la brise se lève en début d'après-midi.","[""reperes_spatio_temporels"",""interactions_climatiques""]","[""vent"",""météo"",""thermique""]",
23,2,PROTÉGER,Comment adapter sa pratique nautique selon les conditions de vent ?,Savoir réduire sa voilure ou changer de zone pour préserver le matériel et l'environnement.,Naviguer en surpuissance augmente le risque de casse et de dérangement de la faune.,"[""cohabitation_vivant""]","[""vent"",""sécurité"",""adaptation""]",phenomenes_physiques
24,1,COMPRENDRE,Qu'est-ce qui fait bouger l'eau de mer ?,"Comprendre l'origine des courants (marées, vent, différences de densité).",Le courant de marée est souvent le plus puissant près des côtes.,"[""interactions_climatiques""]","[""courant""]",
25,1,COMPRENDRE,Quels sont les différents types de courants marins ?,"Distinguer les courants de marée, de dérive (vent), et généraux.","Imaginez des rivières invisibles dans la mer, chacune avec sa propre cause.","[""interactions_climatiques""]","[""courant"",""marée"",""vent""]",phenomenes_physiques
26,2,COMPRENDRE,Comment les courants influencent-ils la navigation ?,Comprendre l'impact des courants sur la vitesse et la trajectoire.,Un courant de 2 nœuds peut doubler votre vitesse ou vous arrêter complètement !,"[""interactions_climatiques""]","[""courant"",""sécurité""]",phenomenes_physiques
27,1,OBSERVER,Comment repère-t-on le sens du courant ?,Identifier des indices visuels pour déterminer le sens du courant.,Regardez l'eau qui s'écoule autour d'une bouée ou d'un poteau. La 'moustache' d'écume indique le sens.,"[""lecture_paysage""]","[""courant"",""repères visuels""]",
28,2,OBSERVER,Pourquoi dois-tu vérifier le sens du courant ?,Intégrer l'observation du courant pour la sécurité et la performance.,Aller contre le courant peut vous épuiser et vous mettre en danger.,"[""reperes_spatio_temporels""]","[""courant"",""sécurité""]",
29,2,PROTÉGER,Comment naviguer de façon responsable face aux courants ?,Comprendre que les courants sont des corridors de vie à respecter.,Les courants transportent nourriture et larves. Évitez de jeter quoi que ce soit dans ces 'autoroutes' de la vie marine.,"[""cohabitation_vivant""]","[""courant"",""zone sensible""]",
30,1,COMPRENDRE,Comment se forment les vagues ?,Comprendre que les vagues sont principalement créées par le vent.,"Plus le vent souffle fort, longtemps et sur une grande distance, plus les vagues sont grosses.","[""interactions_climatiques""]","[""vague"",""vent""]",
31,1,COMPRENDRE,Quelle est la différence entre vagues et houle ?,Distinguer la mer du vent (local) de la houle (formée au large).,"La houle est une onde longue et régulière, la mer du vent est courte et désordonnée.","[""interactions_climatiques""]","[""vague"",""houle""]",
32,2,COMPRENDRE,Comment se produit le déferlement des vagues ?,Comprendre que le déferlement est dû à la rencontre avec les fonds marins.,"Quand la profondeur de l'eau devient trop faible, la vague 'trébuche' et déferle.","[""interactions_climatiques"",""caracteristiques_littoral""]","[""vague"",""zone rocheuse""]",
33,1,OBSERVER,Comment décrirais-tu l'état de la mer ?,"Apprendre à qualifier la mer (calme, agitée, clapoteuse...).",Utilisez des mots simples pour décrire ce que vous voyez. Y a-t-il de l'écume ? Les vagues sont-elles hautes ?,"[""lecture_paysage""]","[""vague"",""météo""]",phenomenes_physiques
34,2,OBSERVER,Comment est la forme des vagues ?,Analyser la forme des vagues pour anticiper leur comportement.,Des vagues creuses et rapides sont plus dangereuses que des vagues douces et lentes.,"[""lecture_paysage""]","[""vague""]",phenomenes_physiques
35,3,OBSERVER,Pourquoi le déferlement est le moment clé de la vague ?,Comprendre que c'est le moment où l'énergie de la vague est libérée.,Observer la zone de déferlement est essentiel pour la sécurité en surf ou en kayak.,"[""lecture_paysage""]","[""vague"",""sécurité""]",
36,3,OBSERVER,Pourquoi vagues et houle sont liés ?,Comprendre comment la houle se transforme en vagues en arrivant à la côte.,"Vous pouvez avoir de la houle sans vent local, mais pas l'inverse.","[""interactions_climatiques""]","[""vague"",""houle"",""vent""]",
37,2,PROTÉGER,Comment respecter les zones sensibles lors de la pratique du surf ?,Éviter de piétiner des zones fragiles et de déranger la faune.,Utilisez les accès prévus et ne marchez pas sur les rochers couverts d'algues ou de coquillages.,"[""cohabitation_vivant"",""impact_presence_humaine""]","[""vague"",""zone sensible""]",
38,1,COMPRENDRE,Pourquoi la météo est-elle différente en mer qu'à terre ?,Comprendre l'inertie thermique de l'eau et son influence.,"La mer est plus lente à se réchauffer et à se refroidir que la terre, ce qui adoucit le climat côtier.","[""interactions_climatiques""]","[""météo""]",
39,1,COMPRENDRE,Comment se forment les nuages ?,Comprendre le cycle de l'eau et la condensation.,Les nuages sont simplement des gouttelettes d'eau ou des cristaux de glace en suspension.,"[""interactions_climatiques""]","[""météo"",""nuage""]",
40,2,COMPRENDRE,Comment évolue la météo marine ?,Comprendre que le temps peut changer très vite en mer.,Consultez toujours la météo avant de partir et continuez à observer le ciel.,"[""reperes_spatio_temporels""]","[""météo"",""sécurité"",""outils""]",
41,1,OBSERVER,Comment décrirais-tu l'état du ciel ?,"Apprendre à qualifier le ciel (clair, nuageux, menaçant...).",Les couleurs du ciel au lever et au coucher du soleil peuvent donner des indices sur le temps à venir.,"[""lecture_paysage""]","[""météo"",""nuage""]",phenomenes_physiques
42,2,OBSERVER,Comment est la forme des nuages ?,Reconnaître quelques types de nuages de base et leur signification.,Les gros nuages sombres (cumulonimbus) annoncent souvent des orages.,"[""lecture_paysage""]","[""météo"",""nuage"",""repères visuels""]",
43,2,PROTÉGER,Comment anticiper pour la sécurité et la préservation ?,Comprendre qu'anticiper la météo permet de ne pas se mettre en danger ni de déranger la faune.,Un orage peut être dangereux pour vous et stressant pour les animaux.,"[""cohabitation_vivant""]","[""météo"",""sécurité"",""adaptation""]",phenomenes_physiques
44,1,COMPRENDRE,Comment se forment les dunes ?,Comprendre le rôle du vent et des plantes dans la formation des dunes.,C'est le sable transporté par le vent qui est piégé par les plantes pionnières.,"[""caracteristiques_littoral""]","[""dune"",""vent""]",
45,2,COMPRENDRE,"Pourquoi, le massif dunaire est composé de plusieurs strates ?",Comprendre l'étagement de la végétation dunaire.,"De la plage vers l'intérieur : plantes pionnières, dune mobile, dune grise, forêt.","[""caracteristiques_littoral"",""biodiversite_saisonnalite""]","[""dune"",""écosystème""]",
46,1,OBSERVER,Comment décrirais-tu l'état de la plage ?,"Apprendre à observer les différents éléments de la plage (sable, galets, dunes).","Regardez la couleur du sable, la taille des galets, la hauteur des dunes.","[""lecture_paysage""]","[""dune""]",navigation_securite
47,2,OBSERVER,Pourquoi la dune bouge d'une marée à l'autre ?,Observer les signes d'érosion et d'accumulation de sable.,"Après une tempête, vous pouvez voir des 'falaises' de sable là où la dune a été attaquée par la mer.","[""lecture_paysage""]","[""dune"",""marée"",""érosion""]",
48,1,PROTÉGER,Pourquoi les dunes sont fragiles ?,Comprendre que le piétinement détruit la végétation qui retient le sable.,Utilisez toujours les chemins balisés pour traverser les dunes.,"[""impact_presence_humaine"",""cohabitation_vivant""]","[""dune"",""zone sensible"",""érosion""]",
49,3,PROTÉGER,Pourquoi on parle de plus en plus du recul du trait de côte ?,Comprendre l'enjeu de l'érosion côtière et du changement climatique.,La montée du niveau de la mer et les tempêtes plus fortes accélèrent ce phénomène naturel.,"[""impact_presence_humaine""]","[""dune"",""érosion""]",
50,1,COMPRENDRE,"Comment s'appelle la bande colorée sur le sable, quand la mer se retire ?",Connaître le terme 'laisse de mer'.,"C'est un peu la 'poubelle naturelle' de la mer, mais une poubelle très utile !","[""caracteristiques_littoral""]","[""laisse de mer"",""vocabulaire""]",phenomenes_physiques
51,1,COMPRENDRE,D'où viennent les débris de la laisse de mer ?,"Distinguer les débris naturels (algues, bois) des déchets humains.","Les éléments naturels sont essentiels à l'écosystème, pas les déchets !","[""impact_presence_humaine""]","[""laisse de mer"",""pollution""]",
52,2,COMPRENDRE,Comment les courants et marées transportent-ils les débris ?,Comprendre que la laisse de mer est un indicateur des mouvements de l'eau.,La forme de la laisse de mer peut vous donner des indices sur la direction des courants.,"[""interactions_climatiques""]","[""laisse de mer"",""courant"",""marée""]",phenomenes_physiques
53,1,OBSERVER,Que peut-on trouver dans la laisse de mer ?,Identifier les différents composants de la laisse de mer.,"Cherchez des coquillages, des 'œufs de raie', des os de seiche, des algues...","[""biodiversite_saisonnalite""]","[""laisse de mer""]",
54,2,OBSERVER,Comment la laisse de mer peut-elle être un indicateur environnemental ?,Comprendre que la composition de la laisse renseigne sur la santé de l'écosystème.,Trop de plastique est un mauvais signe. La présence de certaines espèces peut être un bon signe.,"[""impact_presence_humaine"",""biodiversite_saisonnalite""]","[""laisse de mer"",""pollution"",""écosystème""]",
55,2,PROTÉGER,Comment pratiquer un nettoyage raisonné de la plage ?,Savoir ramasser les déchets humains sans enlever les éléments naturels.,"Ne ramassez que ce qui est d'origine humaine. Laissez le bois et les algues, ils nourrissent la dune.","[""impact_presence_humaine""]","[""laisse de mer"",""pollution""]",responsabilite_environnementale
56,3,PROTÉGER,Comment réduire les déchets à la source pour limiter la pollution marine ?,Comprendre que la meilleure solution est de ne pas produire de déchets.,"Utilisez des gourdes, évitez les emballages uniques, ne laissez rien derrière vous.","[""impact_presence_humaine""]","[""pollution""]",
57,1,COMPRENDRE,"Pourquoi y a-t-il beaucoup de vie humaine, animale et végétale sur l'espace littoral ?",Comprendre que le littoral est un écotone riche et productif.,"C'est une zone de rencontre entre la terre et la mer, ce qui multiplie les habitats et les ressources.","[""biodiversite_saisonnalite"",""caracteristiques_littoral""]","[""écosystème""]",
58,1,COMPRENDRE,Comment les espèces marines sont-elles adaptées à leur environnement ?,"Comprendre les adaptations spécifiques (respiration, camouflage...).","Le crabe a une carapace, le poisson a des branchies, l'algue est flexible pour résister aux vagues.","[""biodiversite_saisonnalite""]","[""adaptation""]",vie_marine_littoral
59,2,COMPRENDRE,Comment fonctionnent les chaînes alimentaires marines ?,Comprendre les relations prédateurs-proies en mer.,"Du plancton aux grands prédateeurs, chaque maillon est essentiel.","[""biodiversite_saisonnalite""]","[""écosystème""]",vie_marine_littoral
60,2,COMPRENDRE,Quels sont les cycles biologiques des espèces marines ?,"Comprendre les cycles de vie (reproduction, migration).",Les oiseaux migrateurs s'arrêtent sur nos côtes pour se reposer et se nourrir.,"[""biodiversite_saisonnalite""]","[""migration"",""reproduction""]",
61,1,OBSERVER,Comment peut-on repérer des traces de présence animale sur ce site ?,"Identifier des indices de faune (empreintes, plumes, coquilles).",Les traces de pas sur le sable humide sont un excellent indice.,"[""lecture_paysage""]","[""repères visuels"",""faune""]",
62,2,OBSERVER,Comment observer le vivant sans déranger,"""Retenir qu’il y a dérangement dès qu’il y a un changement de comportement","Rester à distance, ne pas faire de bruit, utiliser des jumelles","[""cohabitation_vivant""]","[""faune"",""zone sensible""]",
63,1,PROTÉGER,Pourquoi je peux observer tout en étant discret ?,Comprendre que la discrétion évite le stress et la fuite des animaux.,Un animal qui fuit utilise une énergie précieuse dont il a besoin pour survivre.,"[""cohabitation_vivant""]","[""faune"",""zone sensible""]",
64,1,PROTÉGER,Pourquoi un dérangement peut causer du tort au « vivant » ?,"Comprendre les conséquences du dérangement (abandon du nid, stress...).","Si des parents sont dérangés, ils peuvent abandonner leurs œufs ou leurs petits.","[""cohabitation_vivant""]","[""faune"",""zone sensible""]",
