id,niveau,dimension,question,objectif,tip,tags_theme,tags_filtre,created_at,owner_id,is_public,club_id,ressources,source,ffv_level,supports,explication,accroche,a_observer,a_retenir,erreur_frequente,accroches_variantes
1,1,COMPRENDRE,Pourquoi y a-t-il plusieurs marées par jour ?,Comprendre le mécanisme astronomique des marées (Lune/Soleil).,La Terre tourne sur elle-même plus vite que la Lune ne tourne autour d'elle.,"[""caracteristiques_littoral"",""reperes_spatio_temporels""]","[""marée""]",2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"Deux fois par jour environ, la Lune (et un peu le Soleil) attirent les masses d'eau vers eux. La Terre tournant plus vite que la Lune ne se déplace sur son orbite, chaque point du globe passe deux fois sous cette attraction en un peu plus de 24h : d'où deux marées hautes et deux marées basses.",,,,,
10,2,COMPRENDRE,"Pourquoi pour parler du mouvement de la mer qui monte et descend, on parle de flot et de jusant ?",Connaître le vocabulaire technique précis des marées.,"Le flot 'flotte' (monte), le jusant 'descend' (jus -> bas).","[""reperes_spatio_temporels""]","[""marée"",""vocabulaire""]",2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"Ce vocabulaire vient de la marine traditionnelle : le ""flot"" est la marée montante, le ""jusant"" la marée descendante. Entre les deux se glisse l'étale, ce bref moment où le courant s'arrête avant de repartir dans l'autre sens.",,,,,
100,2,COMPRENDRE,Pourquoi l’air qui monte dans l’atmosphère favorise-t-il la formation de nuages ?,Détailler le rôle de l'air ascendant dans la nébulosité.,"Parce que lorsqu’il monte, l’air se refroidit, ne peut plus contenir autant de vapeur d’eau, et la vapeur se condense pour former des gouttelettes ou des cristaux => nuage.","[""Nuages"",""Atmosphère""]",[],2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"Plus l'air monte haut, plus il fait froid, et un air froid retient beaucoup moins de vapeur d'eau qu'un air chaud. Ce refroidissement force donc l'eau invisible contenue dans l'air à redevenir liquide (ou glace) : c'est la condensation qui forme le nuage.",,,,,
101,2,COMPRENDRE,Pourquoi les nuages sont-ils souvent utilisés comme indicateurs de changement météo ?,Identifier l'utilité des nuages comme indicateurs météorologiques.,"Parce que certains types de nuages se forment dans des conditions spécifiques : par exemple, un voile de cirrostratus peut annoncer un front chaud, des cumulus verticaux une instabilité, un ciel entièrement stratus un temps stable mais couvert. Le type + altitude + forme peuvent donc être des signaux","[""Nuages"",""Météo"",""Prévisions""]",[],2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"La forme et l'altitude d'un nuage racontent ce qui se prépare : un voile fin annonce souvent un changement en douceur, un nuage qui gonfle verticalement signale de l'instabilité, un ciel entièrement gris et bas indique un temps stable mais couvert.",,,,,
102,2,COMPRENDRE,"Qu’est-ce qu’un vent local tel que la brise de mer et de terre, et comment se forme-t-il ?",Expliquer la formation des vents locaux (brises).,"Un vent local comme la brise de mer se forme parce que la terre se réchauffe plus vite que l’eau : l’air au-dessus de la terre monte, créant une basse pression, et l’air plus frais venant de la mer se déplace vers la terre. La nuit, la situation s’inverse avec la brise de terre vers la mer.","[""Vent"",""Brise"",""Météo locale""]",[],2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"La terre se réchauffe et se refroidit plus vite que la mer. En journée, l'air chaud au-dessus du sol monte et l'air frais du large vient le remplacer : c'est la brise de mer. La nuit, la terre se refroidit plus vite que la mer, et le mouvement s'inverse : c'est la brise de terre.",,,,,
103,2,COMPRENDRE,Pourquoi est-il important de tenir compte des migrations pour la gestion des zones naturelles en Normandie ?,Comprendre l'impact des migrations sur la gestion des zones naturelles.,"Parce que les zones d’escale ou d’hivernage doivent être protégées (zones humides, littoraux), car la perturbation ou destruction de ces milieux peut compromettre le succès migratoire des espèces","[""Migrations"",""Biodiversité"",""Gestion zones naturelles""]",[],2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"Un oiseau migrateur qui trouve sa zone d'escale détruite ou trop dérangée n'a souvent pas d'autre option à proximité : il arrive épuisé et repart sans avoir pu reconstituer ses réserves. Protéger ces étapes normandes, c'est protéger la réussite du voyage entier, bien au-delà de nos frontières régionales.",,,,,
104,2,COMPRENDRE,Quels sont les trois principaux facteurs qui déterminent la taille d’une houle (ou vague générée) ?,Identifier les facteurs influençant la taille de la houle.,"La vitesse du vent, la durée pendant laquelle il souffle, et la distance non interrompue sur laquelle il souffle (fetch) : c’est-à-dire la surface d’eau sur laquelle le vent agit sans interruption","[""Houle"",""Vagues"",""Facteurs""]",[],2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"Une houle puissante n'a besoin que de trois ingrédients : un vent fort, qui souffle longtemps, sur une grande étendue d'eau libre (le fetch). Diminuez l'un des trois, et la houle reste modeste, même avec les deux autres réunis.",,,,,
105,2,OBSERVER,Pourquoi est-il utile de vérifier la direction du vent et celle de la houle ?,Comprendre l'importance de la direction du vent et de la houle pour la sécurité.,"Parce que le vent peut générer des vagues ou accentuer la houle. Si le vent souffle contre la direction de la houle, la mer se « dérange », avec des vagues plus courtes, hachées et donc dangereuses.","[""Vent"",""Houle"",""Sécurité nautique""]",[],2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"Quand le vent souffle dans le même sens que la houle, il l'accompagne et la mer reste relativement organisée. Quand il souffle contre elle, il la hache : les vagues se raccourcissent, se resserrent et deviennent plus imprévisibles — c'est souvent dans cette configuration que la mer devient la plus inconfortable.",,,,,
106,2,OBSERVER,Que faut-il observer concernant la marée ou le courant avant une activité nautique ?,Identifier les points d'observation essentiels pour la marée et les courants.,"Vérifier l’heure de haute/basse mer, l’amplitude, et identifier les zones de courant fort ou « ressac » potentiels","[""Marées"",""Courants"",""Sécurité nautique""]",[],2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"Avant de partir, trois questions concrètes sur la marée : à quelle heure est la prochaine haute ou basse mer, quelle est l'amplitude prévue (coefficient), et où se trouvent les zones connues de courant fort ou de ressac sur le site.",,,,,
107,2,OBSERVER,Pourquoi l’observation de l’état de la mer est-elle incontournable pour la sécurité nautique ?,Expliquer le rôle de l'observation marine pour la sécurité.,"Parce qu’elle permet d’évaluer le niveau de risque (vagues, houle, courant, vent), d’adapter le matériel, de choisir un bon itinéraire ou de reporter si nécessaire. L’ignorance peut conduire à des situations dangereuses","[""État de la mer"",""Sécurité nautique""]",[],2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"Un même plan d'eau peut passer de calme à dangereux en quelques dizaines de minutes si le vent forcit ou si la houle grossit. Observer l'état de la mer avant de partir, c'est décider en connaissance de cause plutôt que de découvrir un problème une fois engagé, loin du bord.",,,,,
108,2,OBSERVER,Qu’est-ce que la « période » d’une houle ?,Définir la période d'une houle.,La période est le temps (exprimé en secondes) entre le passage de deux crêtes consécutives d’onde à un même point fixe. Les houles ont typiquement des périodes plus longues que les vagues de vent,"[""Houle"",""Vagues"",""Terminologie""]",[],2026-02-06 15:53:04.404251+00,,true,,[],copun,,[],"La période se mesure en secondes entre deux crêtes qui passent au même endroit. Une mer du vent locale a une période courte (quelques secondes), tandis qu'une houle qui a voyagé longtemps a une période plus longue — souvent 10 secondes ou plus — signe de vagues plus organisées et plus puissantes.",,,,,
